Gene_symbol,FBgn
Rbp9,FBgn0010263
aub,FBgn0000146
CG11700,FBgn0029856
CSN4,FBgn0027054
Cul2,FBgn0032956
CycA,FBgn0000404
Not1,FBgn0085436
Not3,FBgn0033029
Rcd-1,FBgn0031047
Rga,FBgn0017550
Traf6,FBgn0265464
Ubi-p5E,FBgn0086558
Ubi-p63E,FBgn0003943
brat,FBgn0010300
eIF4A,FBgn0001942
out,FBgn0259834
CSN4,FBgn0027054
CSN5,FBgn0027053
E2f1,FBgn0011766
eIF4A,FBgn0001942
eIF4E1,FBgn0015218
Nedd8,FBgn0032725
Socs36E,FBgn0041184
udd,FBgn0033261
vas,FBgn0283442
aurB,FBgn0024227
CG6015,FBgn0038927
CHES-1-like,FBgn0029504
CycA,FBgn0000404
Dhps,FBgn0035854
dind,FBgn0286828
Doa,FBgn0265998
Dsor1,FBgn0010269
lili,FBgn0027539
mael,FBgn0016034
mir-7,FBgn0262370
mir-275,FBgn0262453
mir-306,FBgn0262386
sov,FBgn0287725
stg,FBgn0003525
tkv,FBgn0003716
trbl,FBgn0028978